GEO,POPULATION_MUNICIPALE,NB_CONSEILLERS_TOTAL,TOTAL_HABITANTS_FICHIER_LOGEMENT,TOTAL_LOCATAIRES,PROPORTION_LOCATAIRES,NB_CONSEILLERS_LOCATAIRES
01102,981.0,15.0,981.0,126.0,12.844036697247708,2
01103,2301.0,19.0,2301.0,646.0,28.074750108648416,5
01104,436.0,11.0,435.0,95.0,21.839080459770116,2
01105,1986.0,19.0,1986.0,391.0,19.68781470292044,4
01106,175.0,11.0,175.0,24.0,13.714285714285715,2
01107,144.0,11.0,144.0,14.0,9.722222222222223,1
01108,1294.0,15.0,1209.0,327.0,27.04714640198511,4
01109,2260.0,19.0,2260.0,674.0,29.82300884955752,6
01110,164.0,11.0,164.0,40.0,24.390243902439025,3
01111,136.0,11.0,136.0,31.0,22.794117647058822,3
01112,477.0,11.0,477.0,98.0,20.545073375262053,2
01113,815.0,15.0,815.0,225.0,27.607361963190186,4
01114,676.0,15.0,603.0,112.0,18.573797678275287,3
01115,1357.0,15.0,1357.0,363.0,26.75018422991894,4
01116,489.0,11.0,489.0,106.0,21.676891615541923,2
01117,148.0,11.0,148.0,40.0,27.027027027027028,3
01118,1315.0,15.0,1168.0,266.0,22.773972602739725,3
01121,116.0,11.0,116.0,28.0,24.137931034482758,3
01123,1165.0,15.0,1165.0,108.0,9.27038626609442,1
01124,704.0,15.0,704.0,146.0,20.738636363636363,3
01125,587.0,15.0,587.0,123.0,20.954003407155025,3
01127,513.0,15.0,513.0,81.0,15.789473684210526,2
01128,293.0,11.0,293.0,63.0,21.501706484641637,2
01129,316.0,11.0,316.0,31.0,9.81012658227848,1
01130,2393.0,19.0,2393.0,482.0,20.14208106978688,4
01133,384.0,11.0,384.0,86.0,22.395833333333336,2
01134,1844.0,19.0,1822.0,320.0,17.56311745334797,3
01135,2354.0,19.0,2354.0,538.0,22.854715378079867,4
01136,951.0,15.0,951.0,146.0,15.352260778128285,2
01138,3416.0,23.0,3349.0,1303.0,38.90713645864437,9
01139,462.0,11.0,462.0,91.0,19.696969696969695,2
01140,805.0,15.0,777.0,159.0,20.463320463320464,3
