TYPECOM,COM,NCC,NCCENR,LIBELLE,COMPARENT
COM,67006,ALTENHEIM,Altenheim,Altenheim,
COMA,67007,ALTENSTADT,Altenstadt,Altenstadt,67544.0
COM,67008,ALTORF,Altorf,Altorf,
COM,67009,ALTWILLER,Altwiller,Altwiller,
COM,67010,ANDLAU,Andlau,Andlau,
COM,67011,ARTOLSHEIM,Artolsheim,Artolsheim,
COM,67012,ASCHBACH,Aschbach,Aschbach,
COM,67013,ASSWILLER,Asswiller,Asswiller,
COMD,67014,AUENHEIM,Auenheim,Auenheim,67418.0
COMA,67015,AVENHEIM,Avenheim,Avenheim,67452.0
COM,67016,AVOLSHEIM,Avolsheim,Avolsheim,
COM,67017,BAERENDORF,Baerendorf,Baerendorf,
COM,67018,BALBRONN,Balbronn,Balbronn,
COM,67019,BALDENHEIM,Baldenheim,Baldenheim,
COM,67020,BAREMBACH,Barembach,Barembach,
COM,67021,BARR,Barr,Barr,
COM,67022,BASSEMBERG,Bassemberg,Bassemberg,
COM,67023,BATZENDORF,Batzendorf,Batzendorf,
COMD,67024,BEHLENHEIM,Behlenheim,Behlenheim,67495.0
COM,67025,BEINHEIM,Beinheim,Beinheim,
COM,67026,BELLEFOSSE,Bellefosse,Bellefosse,
COM,67027,BELMONT,Belmont,Belmont,
COM,67028,BENFELD,Benfeld,Benfeld,
COM,67029,BERG,Berg,Berg,
COM,67030,BERGBIETEN,Bergbieten,Bergbieten,
COM,67031,BERNARDSWILLER,Bernardswiller,Bernardswiller,
COM,67032,BERNARDVILLE,Bernardvillé,Bernardvillé,
COM,67033,BERNOLSHEIM,Bernolsheim,Bernolsheim,
COM,67034,BERSTETT,Berstett,Berstett,
COM,67035,BERSTHEIM,Berstheim,Berstheim,
COM,67036,BETTWILLER,Bettwiller,Bettwiller,
COM,67037,BIBLISHEIM,Biblisheim,Biblisheim,
COM,67038,BIETLENHEIM,Bietlenheim,Bietlenheim,
COM,67039,BILWISHEIM,Bilwisheim,Bilwisheim,
COM,67040,BINDERNHEIM,Bindernheim,Bindernheim,
COMD,67041,BIRKENWALD,Birkenwald,Birkenwald,67004.0
COMA,67042,BIRLENBACH,Birlenbach,Birlenbach,67104.0
COM,67043,BISCHHEIM,Bischheim,Bischheim,
COM,67044,BISCHHOLTZ,Bischholtz,Bischholtz,
COM,67045,BISCHOFFSHEIM,Bischoffsheim,Bischoffsheim,
COM,67046,BISCHWILLER,Bischwiller,Bischwiller,
COM,67047,BISSERT,Bissert,Bissert,
COM,67048,BITSCHHOFFEN,Bitschhoffen,Bitschhoffen,
COM,67049,BLAESHEIM,Blaesheim,Blaesheim,
COM,67050,BLANCHERUPT,Blancherupt,Blancherupt,
COM,67051,BLIENSCHWILLER,Blienschwiller,Blienschwiller,
COM,67052,BOERSCH,Bœrsch,Bœrsch,
COM,67053,BOESENBIESEN,Bœsenbiesen,Bœsenbiesen,
COM,67054,BOLSENHEIM,Bolsenheim,Bolsenheim,
COM,67055,BOOFZHEIM,Boofzheim,Boofzheim,
COM,67056,BOOTZHEIM,Bootzheim,Bootzheim,
COM,67057,BOSSELSHAUSEN,Bosselshausen,Bosselshausen,
COM,67058,BOSSENDORF,Bossendorf,Bossendorf,
COM,67059,BOURG BRUCHE,Bourg-Bruche,Bourg-Bruche,
COM,67060,BOURGHEIM,Bourgheim,Bourgheim,
COM,67061,BOUXWILLER,Bouxwiller,Bouxwiller,
COM,67062,BREITENAU,Breitenau,Breitenau,
COM,67063,BREITENBACH,Breitenbach,Breitenbach,
COMA,67064,BREMMELBACH,Bremmelbach,Bremmelbach,67074.0
COM,67065,BREUSCHWICKERSHEIM,Breuschwickersheim,Breuschwickersheim,
COM,67066,BROQUE,Broque,La Broque,
COM,67067,BRUMATH,Brumath,Brumath,
COM,67068,BUSWILLER,Buswiller,Buswiller,
COM,67069,BUHL,Buhl,Buhl,
COM,67070,BURBACH,Burbach,Burbach,
COM,67071,BUST,Bust,Bust,
COM,67072,BUTTEN,Butten,Butten,
COM,67073,CHATENOIS,Châtenois,Châtenois,
COM,67074,CLEEBOURG,Cleebourg,Cleebourg,
COM,67075,CLIMBACH,Climbach,Climbach,
COM,67076,COLROY LA ROCHE,Colroy-la-Roche,Colroy-la-Roche,
COM,67077,COSSWILLER,Cosswiller,Cosswiller,
COM,67078,CRASTATT,Crastatt,Crastatt,
COM,67079,CROETTWILLER,Crœttwiller,Crœttwiller,
COM,67080,DACHSTEIN,Dachstein,Dachstein,
COM,67081,DAHLENHEIM,Dahlenheim,Dahlenheim,
COM,67082,DALHUNDEN,Dalhunden,Dalhunden,
COM,67083,DAMBACH,Dambach,Dambach,
COM,67084,DAMBACH LA VILLE,Dambach-la-Ville,Dambach-la-Ville,
COM,67085,DANGOLSHEIM,Dangolsheim,Dangolsheim,
COM,67086,DAUBENSAND,Daubensand,Daubensand,
COM,67087,DAUENDORF,Dauendorf,Dauendorf,
COM,67088,DEHLINGEN,Dehlingen,Dehlingen,
COM,67089,DETTWILLER,Dettwiller,Dettwiller,
COM,67090,DIEBOLSHEIM,Diebolsheim,Diebolsheim,
COM,67091,DIEDENDORF,Diedendorf,Diedendorf,
COM,67092,DIEFFENBACH AU VAL,Dieffenbach-au-Val,Dieffenbach-au-Val,
COM,67093,DIEFFENBACH LES WOERTH,Dieffenbach-lès-Wœrth,Dieffenbach-lès-Wœrth,
COM,67094,DIEFFENTHAL,Dieffenthal,Dieffenthal,
COM,67095,DIEMERINGEN,Diemeringen,Diemeringen,
COM,67096,DIMBSTHAL,Dimbsthal,Dimbsthal,
COM,67097,DINGSHEIM,Dingsheim,Dingsheim,
COM,67098,DINSHEIM SUR BRUCHE,Dinsheim-sur-Bruche,Dinsheim-sur-Bruche,
COM,67099,DOMFESSEL,Domfessel,Domfessel,
COM,67100,DONNENHEIM,Donnenheim,Donnenheim,
COM,67101,DORLISHEIM,Dorlisheim,Dorlisheim,
COM,67102,DOSSENHEIM KOCHERSBERG,Dossenheim-Kochersberg,Dossenheim-Kochersberg,
COM,67103,DOSSENHEIM SUR ZINSEL,Dossenheim-sur-Zinsel,Dossenheim-sur-Zinsel,
COM,67104,DRACHENBRONN BIRLENBACH,Drachenbronn-Birlenbach,Drachenbronn-Birlenbach,
COM,67105,DRULINGEN,Drulingen,Drulingen,
COM,67106,DRUSENHEIM,Drusenheim,Drusenheim,
COM,67107,DUNTZENHEIM,Duntzenheim,Duntzenheim,
COM,67108,DUPPIGHEIM,Duppigheim,Duppigheim,
COM,67109,DURNINGEN,Durningen,Durningen,
COM,67110,DURRENBACH,Durrenbach,Durrenbach,
COM,67111,DURSTEL,Durstel,Durstel,
COM,67112,DUTTLENHEIM,Duttlenheim,Duttlenheim,
COM,67113,EBERBACH SELTZ,Eberbach-Seltz,Eberbach-Seltz,
COMA,67114,EBERBACH WOERTH,Eberbach-Wœrth,Eberbach-Wœrth,67176.0
COM,67115,EBERSHEIM,Ebersheim,Ebersheim,
COM,67116,EBERSMUNSTER,Ebersmunster,Ebersmunster,
COM,67117,ECKARTSWILLER,Eckartswiller,Eckartswiller,
COM,67118,ECKBOLSHEIM,Eckbolsheim,Eckbolsheim,
COM,67119,ECKWERSHEIM,Eckwersheim,Eckwersheim,
COM,67120,EICHHOFFEN,Eichhoffen,Eichhoffen,
COM,67121,ELSENHEIM,Elsenheim,Elsenheim,
COM,67122,WANGENBOURG ENGENTHAL,Wangenbourg-Engenthal,Wangenbourg-Engenthal,
