GEO,OBS_VALUE,nombre_conseillers
09231,167,11
10190,559,15
09315,105,11
10201,58,7
14593,668,15
14277,2040,19
12300,11502,33
14316,289,11
03245,125,11
02828,90,7
03297,1468,15
11409,106,11
12067,88,7
11295,1288,15
11279,2875,23
08134,75,7
07225,1292,15
09050,502,15
08362,7435,29
08186,51,7
09018,92,7
05165,244,11
07069,677,15
02269,150,11
02030,243,11
09173,277,11
09073,209,11
09164,483,11
09179,79,7
14609,521,15
13087,5357,29
14016,502,15
12289,204,11
03176,538,15
03209,152,11
01107,144,11
01087,280,11
11016,79,7
12062,346,11
11431,252,11
08065,46,7
08153,343,11
07240,2415,19
08491,3524,27
09038,373,11
02321,866,15
01363,1799,19
06067,1568,19
04218,208,11
07132,1496,15
06015,1234,15
04124,405,11
06103,1816,19
06090,8143,29
09152,18,7
10404,109,11
09197,17,7
09080,166,11
01216,891,15
01080,655,15
14590,136,11
13002,21404,35
14231,444,11
14535,601,15
14218,379,11
12156,519,15
11353,2019,19
02526,107,11
06133,69,7
05107,471,11
07149,283,11
07023,383,11
07289,1664,19
08095,172,11
08098,53,7
08124,342,11
07314,399,11
08428,147,11
08488,2811,23
01389,1910,19
02359,1248,15
02349,62,7
09084,95,7
10284,160,11
10181,221,11
09205,94,7
10182,108,11
10336,428,11
10252,64,7
10045,178,11
14225,5129,29
14063,211,11
14394,428,11
13049,2069,19
01102,981,15
01195,1900,19
12018,175,11
11259,988,15
07159,777,15
04205,1365,15
04134,544,15
02556,69,7
02739,326,11
08383,100,11
07200,64,7
08372,61,7
08388,351,11
08140,1053,15
01420,1644,19
02205,212,11
02136,123,11
09140,126,11
10193,301,11
14180,153,11
14104,203,11
13064,2651,23
01157,2524,23
11104,56,7
11380,137,11
11410,968,15
03167,280,11
03028,361,11
03182,267,11
07174,517,15
06102,154,11
07028,538,15
04245,3227,23
05163,158,11
06012,12430,33
07022,1293,15
09033,41,7
08378,109,11
09047,1085,15
09017,123,11
08313,149,11
08426,89,7
08179,590,15
10309,88,7
10325,4866,27
10186,530,15
10410,105,11
01433,296,11
02499,40,7
02171,91,7
11384,130,11
12150,469,11
10423,404,11
11134,51,7
11086,879,15
14587,2493,19
14241,629,15
12295,88,7
12261,125,11
01169,675,15
01092,1675,19
04149,2796,23
07131,431,11
07191,2250,19
06057,2563,23
05161,919,15
08446,85,7
08330,744,15
08141,187,11
03262,2078,19
02680,2313,19
04007,70,7
02138,183,11
02273,194,11
02297,125,11
01387,259,11
02145,546,15
14080,126,11
14530,2055,19
01007,2828,23
01234,164,11
10361,254,11
09150,210,11
10384,198,11
10432,68,7
11351,757,15
11024,750,15
12203,502,15
12198,1922,19
06096,99,7
05157,165,11
05116,213,11
02511,317,11
02582,79,7
02826,348,11
09071,214,11
09027,80,7
09029,146,11
08035,50,7
02453,398,11
02256,125,11
01376,4243,27
02385,169,11
02467,49,7
14502,84,7
14140,368,11
14667,223,11
13027,16668,33
14167,7015,29
14550,88,7
11280,1105,15
11004,331,11
11095,329,11
12038,165,11
11182,184,11
04108,2019,19
04155,174,11
06098,121,11
08030,58,7
08055,422,11
08172,155,11
10114,697,15
09282,4808,27
09204,261,11
09249,150,11
10348,231,11
02572,496,11
02707,179,11
02745,112,11
14384,3295,23
14379,356,11
14620,427,11
01407,997,15
02424,102,11
01386,1140,15
01331,195,11
02038,63,7
12004,438,11
12076,1555,19
11060,52,7
11179,89,7
01123,1165,15
02649,305,11
02517,299,11
02787,255,11
03156,1633,19
04006,816,15
14404,119,11
14121,253,11
13078,8510,29
02338,246,11
02151,113,11
02263,113,11
02011,1203,15
02254,126,11
07101,931,15
08215,45,7
08343,1129,15
08178,171,11
07333,934,15
09053,30,7
09285,743,15
10085,63,7
09076,212,11
10394,169,11
12069,258,11
11427,314,11
14329,137,11
13032,8349,29
14644,650,15
14455,274,11
12248,586,15
02020,455,11
02272,75,7
02146,94,7
03037,259,11
03031,300,11
03173,1120,15
02617,496,11
02592,192,11
07080,306,11
04106,373,11
04192,1278,15
06146,147,11
05162,1375,15
08392,181,11
08481,240,11
08222,1806,19
09051,151,11
09141,73,7
10123,821,15
09259,152,11
10240,470,11
11397,5386,29
11163,47,7
12113,539,15
11051,176,11
01104,436,11
03056,396,11
02534,45,7
03308,150,11
14675,2190,19
13041,21534,35
14175,303,11
14385,160,11
12220,321,11
07126,1227,15
05064,114,11
07162,569,15
02016,211,11
02168,15068,33
02219,195,11
01304,2862,23
02121,219,11
01390,1229,15
01267,973,15
02454,403,11
08163,257,11
08373,269,11
07335,218,11
08451,363,11
08126,219,11
12175,168,11
11021,482,11
11417,95,7
12144,135,11
11313,328,11
12048,330,11
10165,339,11
09111,314,11
10320,230,11
10196,222,11
09091,192,11
04042,140,11
03213,262,11
03230,527,15
03091,430,11
03285,175,11
02821,662,15
03136,206,11
14306,392,11
13050,9951,29
14103,411,11
13100,9547,29
01139,462,11
02184,335,11
11227,44,7
11073,59,7
11395,26,7
06048,7722,29
05160,79,7
05131,75,7
04111,1390,15
08036,95,7
07242,119,11
08449,682,15
07230,404,11
08310,74,7
08455,87,7
03169,307,11
02599,249,11
03313,269,11
03266,277,11
02762,171,11
03019,1640,19
09103,952,15
10215,261,11
10008,107,11
10137,28,7
10420,2604,23
09328,208,11
01149,1108,15
14619,128,11
13004,51156,45
14304,855,15
01457,3233,23
02085,991,15
01329,164,11
02384,58,7
09162,14,7
10110,587,15
09263,28,7
12130,1102,15
11261,715,15
11405,587,15
02601,175,11
03146,176,11
01016,459,11
01061,1117,15
08001,490,11
09044,165,11
07213,166,11
08201,104,11
13080,5794,29
14496,57,7
14273,140,11
14085,822,15
14303,924,15
13076,3562,27
13009,852,15
02665,299,11
01360,2042,19
04158,388,11
07025,207,11
05126,496,11
09100,103,11
10187,385,11
09323,87,7
10026,36,7
12105,1113,15
12124,318,11
11282,54,7
02830,946,15
02772,142,11
03188,209,11
06002,49,7
07120,66,7
07168,566,15
04122,508,15
06008,50,7
07265,1378,15
07239,112,11
09034,47,7
08214,453,11
14089,381,11
14661,159,11
14401,136,11
01115,1357,15
01056,362,11
10054,123,11
10022,198,11
10089,705,15
10276,334,11
02245,1760,19
02404,168,11
11264,1283,15
11246,49,7
11284,459,11
11350,50,7
12074,289,11
03279,553,15
02533,111,11
03247,1135,15
03200,1487,15
02726,177,11
04208,608,15
13060,6341,29
14439,96,7
09214,796,15
10414,129,11
09213,235,11
10258,270,11
08338,198,11
07222,217,11
08303,396,11
02012,81,7
02090,195,11
01379,758,15
02340,5197,29
01273,1798,19
02690,68,7
02631,419,11
02530,77,7
05177,592,15
04191,9,7
04136,333,11
07170,288,11
06018,10196,33
11299,637,15
12151,226,11
11196,180,11
11014,1474,15
02476,654,15
02082,117,11
02329,414,11
14283,217,11
14248,246,11
13046,4469,27
14119,2075,19
14571,301,11
14300,51,7
07310,896,15
08411,87,7
08283,128,11
08161,33,7
08048,388,11
07283,63,7
10157,213,11
10145,215,11
10116,310,11
10260,661,15
10126,125,11
01219,162,11
01064,1102,15
01082,595,15
02065,561,15
02388,219,11
02445,267,11
02491,321,11
01355,488,11
03074,635,15
03152,228,11
03250,365,11
02752,283,11
02623,94,7
11236,251,11
12120,2148,19
12129,442,11
11414,23,7
08358,263,11
14473,107,11
13098,5996,29
14427,284,11
07026,255,11
07122,1840,19
07095,473,11
06107,66,7
07116,1376,15
09318,127,11
10307,366,11
10208,300,11
09081,286,11
10310,201,11
10160,36,7
10327,125,11
01028,618,15
01054,1540,19
01148,2013,19
02057,1324,15
02095,5724,29
02681,285,11
02774,122,11
04013,624,15
02803,148,11
03046,1001,15
14555,450,11
13021,5717,29
14224,56,7
14193,684,15
14396,1044,15
14336,461,11
11017,73,7
11266,5882,29
11245,37,7
12210,455,11
11175,484,11
08315,68,7
08306,51,7
06121,1476,15
07156,906,15
04171,120,11
02393,139,11
02206,72,7
14656,982,15
14542,643,15
14342,3549,27
03098,4323,27
02554,1106,15
03293,296,11
03151,180,11
01214,163,11
01453,715,15
10347,213,11
10078,26,7
10226,120,11
12108,367,11
08165,63,7
08156,469,11
09040,310,11
04200,679,15
06055,159,11
14011,1908,19
14333,6751,29
14110,128,11
13095,1270,15
14510,66,7
14449,417,11
14275,519,15
02449,61,7
02152,88,7
02076,154,11
01397,1003,15
02336,976,15
02676,1700,19
03108,369,11
04027,256,11
04054,74,7
02715,42,7
04005,125,11
01257,348,11
01063,591,15
11294,51,7
11250,40,7
11008,384,11
12154,660,15
11047,44,7
11204,34,7
11429,4434,27
11262,56692,45
10419,731,15
09166,112,11
10117,125,11
09308,206,11
10119,167,11
04102,212,11
02075,198,11
08010,134,11
08334,43,7
07294,566,15
08376,249,11
09021,113,11
14533,101,11
14626,999,15
14260,228,11
14569,244,11
14093,225,11
11032,252,11
12071,334,11
11391,22,7
12021,1610,19
12086,323,11
03206,165,11
02776,574,15
02350,141,11
02170,125,11
02132,188,11
02390,253,11
02302,351,11
02327,164,11
04160,1730,19
07054,262,11
06035,1042,15
04204,156,11
10072,32,7
10229,99,7
