GEO,PCS,OBS_VALUE
02490,9,5
02532,9,78
02525,7,214
02520,4,104
02621,7,132
02634,1,5
02542,7,21
02539,3,54
02655,1,6
02747,9,7
03211,6,211
03207,4,30
03184,4,53
02816,2,5
02449,7,5
02528,4,17
02506,3,25
02451,9,6
02424,9,11
02450,7,66
03313,9,44
03297,1,25
03259,2,11
03291,3,11
03299,6,42
03110,5,66
03106,9,156
02401,5,20
02346,3,16
02612,7,43
02608,7,133
02556,1,5
02635,6,45
02635,7,10
02664,5,16
02743,9,28
02665,9,40
03208,3,5
03149,6,61
03206,5,28
03159,7,207
03177,5,26
03008,9,26
02769,5,89
04006,2,45
03247,2,31
02357,1,17
02405,4,67
02403,7,63
02405,2,16
02376,6,23
02460,6,41
02461,7,66
02562,1,5
02545,6,20
02559,3,21
02542,9,9
02587,3,41
02615,2,6
02739,4,52
03066,6,45
03068,7,50
03126,4,186
03109,5,86
03093,6,104
03132,7,224
03205,7,133
03164,2,21
02405,5,95
02373,2,5
02389,7,182
02329,5,33
02413,3,10
02363,5,38
02410,3,18
03239,1,27
03287,4,43
04007,6,6
03307,6,29
02472,5,60
02514,5,103
02495,4,108
03026,7,225
02821,3,41
02770,6,104
02769,9,129
03009,1,11
02567,5,14
02569,5,64
02619,3,26
02636,4,36
02749,5,15
02668,4,64
02765,6,25
02703,7,259
03005,5,58
02814,2,6
02813,5,46
02800,1,6
02800,6,55
03013,2,73
02805,2,74
02481,9,31
02515,7,14
02485,5,9
02425,4,16
02478,9,37
03116,4,28
03088,9,34
03063,4,117
03185,3,1566
03202,2,20
03185,4,2979
03204,7,182
03178,4,26
03181,6,29
02316,2,5
02417,5,19
02352,2,16
02658,5,25
02656,2,16
03261,4,17
04005,2,19
03317,5,43
02594,4,14
02644,9,35
02566,2,41
02539,6,70
03188,2,11
03182,3,11
02326,9,16
02377,9,5
02406,7,27
02355,9,93
02371,4,173
02352,7,112
02328,6,57
03019,4,169
03030,4,116
03039,9,11
02814,6,33
02517,7,60
02469,5,49
02470,7,103
02521,1,10
02495,9,112
02766,7,20
02697,3,20
02680,4,251
03108,3,5
03103,3,25
03119,6,27
03053,1,5
03077,1,23
03255,9,20
03291,6,82
03295,6,17
02806,2,6
03007,2,20
02772,1,5
02821,4,102
02778,9,5
03017,6,31
03229,9,83
03144,1,25
03163,9,67
03167,9,19
03186,3,50
03142,3,5
03205,9,35
02351,4,19
02313,7,103
02383,5,183
02329,9,49
03126,6,138
03069,1,11
03121,9,25
03086,3,6
03056,2,16
03042,1,16
03070,9,20
02491,3,5
02431,2,5
02455,6,24
02705,7,56
02719,1,10
02724,1,6
02681,5,15
03252,1,6
02612,4,11
02651,7,27
02577,7,11
02537,4,43
02594,5,14
02652,9,15
02544,6,112
03146,1,16
03193,5,24
03227,5,28
03183,4,15
02319,3,16
02384,5,7
02363,7,94
02392,1,6
02375,6,12
02350,4,17
03009,7,27
02803,9,23
03029,3,21
02777,9,5
03031,3,6
02820,2,21
02770,1,6
03069,3,21
03101,6,850
03280,4,20
03233,9,27
03243,1,19
03290,5,229
03203,3,33
03147,4,6
03180,9,25
03224,6,39
03195,5,229
03217,3,21
02709,2,11
02709,4,43
02656,4,63
02512,4,21
02432,9,10
02524,4,121
02516,4,22
02537,3,6
02590,7,38
02593,4,133
02639,5,44
02569,3,11
03025,7,421
02777,3,21
03036,1,29
02782,5,21
02824,2,10
02374,6,148
02410,7,45
02367,4,36
02390,4,31
03135,1,30
03103,5,125
03062,7,104
03226,9,36
03143,4,17
03200,9,113
03178,5,11
03197,6,182
02487,2,31
02448,6,20
02467,7,8
02478,1,6
02533,6,20
03280,9,10
03299,4,10
03245,5,6
02593,5,103
02624,3,11
02569,4,33
02833,2,11
02795,9,172
02833,9,47
03021,4,19
03011,6,63
03031,6,23
03019,5,199
03003,9,133
03057,2,6
03104,6,166
03085,4,104
02398,6,64
02382,2,21
02377,1,15
02409,6,20
02722,5,3339
02680,3,55
03265,5,73
03239,6,27
03256,5,11
03252,4,125
03211,2,85
03205,6,71
03218,3,10
03205,3,25
03136,4,11
03193,7,42
03220,7,186
02629,6,45
02587,5,51
03100,9,137
03097,5,38
03115,9,48
03104,3,41
03122,7,63
02510,5,15
02505,9,5
02461,6,46
02493,3,6
03034,2,24
02778,5,5
02831,9,46
02393,9,20
02413,7,51
02399,7,132
02328,3,10
02406,2,6
02362,5,38
03162,3,6
03207,2,40
03171,4,26
03215,2,16
03204,1,25
03237,4,41
04004,1,15
02767,6,40
02741,6,105
02749,7,40
03056,5,35
03059,9,50
03103,2,30
03133,6,56
03131,5,62
02631,4,78
02576,1,5
02640,6,20
02544,3,16
02602,3,45
03152,7,93
03179,9,36
03155,7,720
03157,2,36
02399,4,92
02389,2,26
02322,9,29
02395,9,11
02516,5,6
02459,3,11
02446,2,11
02439,4,183
02530,9,5
02477,5,117
02461,5,16
03295,3,11
03276,2,10
03266,9,20
04012,7,23
03285,9,25
02666,9,112
02732,1,6
02654,5,15
02715,7,13
02723,5,12
02767,4,25
02680,1,5
02764,5,11
02830,6,173
02792,3,5
03037,6,22
02769,6,197
03065,5,65
03112,7,223
03211,7,872
03138,5,388
03213,5,52
03201,3,16
03193,2,10
03223,1,15
02384,6,13
02317,9,17
02339,5,141
02500,7,213
02446,4,37
02466,7,34
02458,7,214
03313,5,29
03271,2,26
03285,4,30
03254,7,1654
02548,1,6
02549,6,97
02540,6,161
02589,4,57
02598,9,81
02553,4,6
02599,3,10
03063,7,307
03124,2,6
03114,9,32
03124,1,11
03125,9,19
03064,5,14
02782,4,26
03035,2,10
03034,3,15
02831,5,22
02724,6,11
02712,1,5
02767,9,20
02712,3,9
03195,4,263
03217,6,78
03146,2,16
03162,6,6
02573,7,10
02618,6,128
02628,6,11
02537,9,22
02345,4,11
02333,6,38
02328,7,182
03301,1,6
03306,2,76
03315,7,349
03316,9,114
03237,3,30
03274,2,6
03046,5,128
03093,7,341
03100,5,174
03063,5,138
03121,1,20
03061,2,16
03038,9,50
03007,7,89
03010,2,5
02797,9,41
02775,7,338
02748,5,74
02739,2,22
02505,6,55
02417,1,13
02322,6,57
02343,1,10
02361,6,688
02336,2,16
02390,6,26
03168,6,109
03229,1,24
03210,7,132
03190,5,2778
02810,7,2492
03023,6,701
03020,6,34
02833,5,57
03098,3,188
03047,3,26
03094,3,160
03070,4,15
03096,1,9
03054,5,21
02539,7,134
02628,7,47
02589,3,26
03317,2,5
03261,6,33
03310,3,1263
02465,9,51
02524,7,121
02509,7,33
02532,1,15
02464,5,68
02458,3,65
02426,6,113
02694,3,16
02679,5,37
02677,7,70
02750,9,47
02739,6,43
02381,1,5
02329,6,37
02377,5,10
02308,6,85
03194,1,5
03206,6,14
03222,1,5
02805,9,265
02823,1,11
03012,9,18
02812,3,19
02804,5,39
02488,7,45
02507,6,16
02480,6,103
02466,9,6
02476,6,89
02513,4,25
02504,2,16
02496,3,5
02652,5,15
02563,7,46
02563,9,16
02585,6,21
03250,4,28
03268,6,25
03286,6,100
02386,6,18
02398,4,19
02350,7,49
02359,9,145
02335,7,41
03118,3,239
03080,1,16
03058,1,17
03090,3,29
03063,2,11
03096,6,9
03187,2,6
02728,9,23
02729,3,5
02723,7,29
02730,3,20
02833,1,11
02783,5,20
02803,3,9
03018,5,69
02791,4,39
02769,1,30
02393,1,5
02368,5,67
02345,6,6
02396,1,5
02308,3,15
02309,6,100
02339,2,46
02353,6,46
02430,6,210
02515,6,5
02465,7,95
02422,9,108
02425,2,6
03273,6,58
03238,7,154
03234,6,52
03266,3,5
03056,7,114
03094,7,1011
03102,4,141
03097,4,22
02579,6,30
02595,1,20
02596,7,174
03007,4,25
02803,5,27
02810,6,1520
02795,5,203
03008,3,26
02801,9,29
02772,9,10
03189,6,94
03174,6,64
03145,3,73
03212,3,72
03086,1,21
03115,4,44
03091,9,49
02319,1,16
02320,7,87
02321,1,5
02748,3,37
02675,5,27
02681,7,55
02707,9,24
02729,4,10
02753,9,49
03268,4,47
03264,9,300
03268,9,47
02438,3,19
02454,7,70
02442,7,31
02527,3,5
02446,6,5
02428,9,5
02456,4,26
02482,6,6
03304,9,179
03316,4,104
03235,1,20
04004,7,187
02648,6,332
02569,7,68
02546,1,10
02586,4,15
03164,5,31
03194,5,14
03138,3,99
03201,4,27
02770,7,242
02828,4,6
03002,9,21
02782,7,47
02762,4,6
02685,3,6
02759,6,27
02685,4,26
02655,7,42
02373,1,9
02392,4,21
02395,2,21
02407,4,33
03080,7,164
03048,2,65
02456,5,21
02445,4,27
02521,7,239
02433,9,21
02438,6,38
02523,9,10
04013,1,10
03302,2,7
03237,9,35
03259,6,40
03291,4,31
03162,7,76
03158,7,205
03197,1,16
03216,1,6
02708,7,24
02765,5,15
02751,7,32
02701,2,25
02668,1,10
02673,3,5
02832,1,6
02770,3,72
02804,3,10
02792,5,28
03006,3,6
02803,6,18
02364,6,64
02369,6,15
02404,7,55
02382,9,129
02319,6,86
02526,5,12
02519,9,5
02471,9,22
02501,6,5
03044,4,148
03045,1,29
03102,2,76
03104,9,135
02541,3,11
02571,2,11
02543,1,21
03312,1,21
03240,6,78
04004,2,40
03256,1,11
03242,4,70
03140,4,135
03211,1,21
03156,7,449
03206,1,5
03172,4,5
03193,9,33
03149,5,51
02393,5,24
02419,9,39
02686,3,6
02690,6,5
02730,7,51
02523,5,10
02508,6,13
02452,6,33
02520,6,101
02780,7,286
03003,4,63
02798,5,247
02782,2,6
03026,2,51
02806,5,30
02617,9,33
02554,7,335
02586,9,5
03281,7,166
03290,1,15
03251,5,37
03242,7,172
03296,4,15
04016,6,6
03049,7,76
03110,1,5
03121,6,70
03058,9,40
02341,9,27
02411,2,5
02392,9,31
02373,3,13
03171,5,26
03142,4,14
03163,1,9
03223,4,68
02756,3,45
02697,9,45
02657,9,47
02756,6,90
02701,7,157
02709,3,6
02715,4,7
02433,4,30
02487,6,58
02493,4,11
02427,6,45
02470,1,6
02444,9,12
02445,7,95
02778,6,30
02831,7,99
02791,3,22
02786,6,11
03288,3,16
04013,9,73
03238,6,93
03204,6,108
03230,3,36
03146,4,16
03166,9,33
03180,6,147
02354,9,13
02336,9,137
02313,6,73
02383,6,137
03129,9,25
03106,6,133
03099,1,27
03114,7,97
03103,1,15
02659,4,93
02758,7,625
02696,6,6
02763,6,35
02568,5,6
02551,6,33
02626,9,62
02600,7,121
02553,3,6
02595,9,30
02566,7,356
02511,6,55
02493,9,26
02425,7,46
02468,5,292
03040,2,45
02785,2,25
03183,7,225
03233,3,26
03147,1,17
03140,3,50
03151,5,17
03185,7,10175
04006,5,171
04016,2,6
03267,1,26
03274,6,41
03271,3,41
02401,1,10
02346,4,46
02356,6,48
02347,5,41
02362,3,5
02764,6,11
02698,6,9
02459,6,28
02485,3,9
02472,7,58
02470,9,77
02423,1,5
02561,3,10
02561,4,29
02568,9,12
02638,9,17
02578,7,32
02643,9,96
02602,4,159
02561,6,15
03072,7,141
03124,5,16
03094,4,417
03071,3,10
03096,7,36
03222,7,39
03202,1,5
03216,7,62
03157,9,61
02830,3,34
02820,7,460
03008,2,11
02832,5,32
03234,1,26
03248,4,6
02517,4,23
02465,6,56
02533,2,5
02504,7,332
02687,3,33
02671,2,6
02708,6,15
02758,6,288
02721,4,66
02721,3,44
02762,9,28
02403,4,26
02371,7,479
02370,6,89
02335,2,5
02321,2,31
02575,6,236
03024,7,75
02779,7,64
02796,1,6
03035,5,10
02827,7,45
02773,9,15
03166,3,11
03160,1,33
03209,3,23
03156,5,202
03252,7,111
03244,4,5
03262,3,113
03306,9,216
03284,5,29
04008,6,124
03286,1,16
03103,9,95
03112,4,31
03087,1,30
03040,5,116
03081,3,11
03067,3,5
03073,3,15
02469,6,88
02473,5,40
02471,4,22
02594,6,32
02604,4,17
02601,4,11
02579,3,15
02581,5,51
02644,3,62
02794,4,31
03004,5,14
03033,3,5
02798,3,26
02789,7,633
02814,1,17
03009,4,6
02787,3,12
02761,2,6
02738,5,1940
03283,3,21
03303,6,12
03269,9,18
04007,1,6
03315,2,26
04013,2,20
03198,5,31
03172,1,5
03206,7,65
03179,7,91
03221,9,45
02369,2,5
02367,3,6
02324,5,12
02382,7,407
02418,6,39
02396,5,10
02317,4,33
03097,7,121
03125,3,10
03108,2,6
03094,6,270
03091,4,41
02441,7,68
02425,1,21
02433,2,11
02519,1,5
02504,9,197
02456,7,118
02478,2,11
02564,7,231
02631,7,66
02548,5,42
02649,2,18
03032,6,26
02821,5,107
02816,3,49
02800,4,22
02793,4,6
02818,4,84
03025,4,163
02717,6,83
02665,7,70
02744,7,19
02746,3,30
02731,4,19
03073,6,84
03074,2,26
03059,7,89
03111,4,130
03046,2,16
02372,6,54
02352,4,41
02407,3,11
02416,4,15
03231,4,15
03136,5,47
03148,5,43
03168,7,320
03205,2,5
03204,2,15
03297,4,125
03297,6,135
04008,5,129
04017,4,6
03283,4,77
72088,3,5
02487,7,175
02460,3,11
02522,2,5
02515,9,5
02536,4,15
02537,2,6
02508,7,57
03008,1,16
02815,4,33
03024,9,24
03017,4,5
02774,9,16
02829,6,9
03005,4,24
03113,5,26
03134,1,28
02545,4,25
02647,4,4
02631,5,66
02542,6,13
02316,5,5
02399,6,77
02366,7,59
02726,5,20
02728,4,33
02689,7,9
02670,6,27
02693,7,38
02705,5,31
03198,3,6
03136,6,16
02505,4,20
02429,7,36
02483,2,10
02465,3,26
02491,2,10
02775,5,96
03029,7,322
02783,2,10
03027,6,104
02372,4,44
02416,9,44
02387,7,306
02316,6,15
02616,4,19
02561,7,43
02638,5,33
02610,1,5
02653,2,16
02608,4,24
02736,6,16
02746,5,74
02751,2,6
02673,7,92
02755,9,49
03135,3,6
03043,4,108
03054,3,16
03119,5,58
03176,7,137
03182,2,22
03233,7,64
02430,5,180
02460,5,16
02529,1,11
02640,5,5
02624,1,5
02575,3,15
02640,4,10
02624,7,91
02792,6,37
02776,9,85
03170,9,6
03174,4,121
03212,4,214
03149,3,46
03192,6,16
03220,3,44
02682,1,10
02679,4,11
02672,7,59
02657,5,42
02318,7,339
02382,4,193
02332,6,50
03133,7,130
03135,4,16
03134,3,6
03079,2,11
02510,7,29
02498,7,142
03035,6,20
02817,7,15
71416,7,143
03185,6,3235
03203,4,38
03200,3,74
71539,4,12
02624,4,15
02605,9,33
02577,6,16
02601,6,27
02677,6,55
02660,7,27
72336,4,189
72326,4,26
03076,4,50
03131,9,62
71351,2,81
71264,2,30
71290,3,16
72202,5,28
72272,4,33
72291,5,81
72257,5,174
72272,9,24
72202,2,11
72142,5,28
72172,4,144
72158,7,198
72093,4,101
72110,3,25
72148,7,9
73077,5,54
73015,4,348
73049,3,5
73086,7,54
71589,2,15
72036,6,63
72047,4,371
71586,9,31
72067,1,21
72054,6,467
72020,7,203
72350,7,726
72319,3,40
72373,6,336
72359,1,24
71543,1,21
71533,5,57
71512,6,394
71556,6,58
71559,5,52
71496,6,20
71445,7,1644
71379,3,20
71409,3,25
71312,5,62
71279,4,50
71327,5,64
71324,2,30
71363,3,13
71325,6,181
71334,6,55
73076,3,36
73068,5,82
73070,2,6
73053,7,149
73030,2,57
72153,7,121
72166,6,43
71550,1,25
71555,1,11
71501,5,24
72231,9,571
72243,7,503
72239,5,59
72269,6,543
71390,1,36
71372,3,71
71390,2,36
71423,9,31
72329,3,287
72349,9,29
72374,5,16
72320,4,337
72358,5,196
72058,2,280
72066,7,137
71325,7,350
71271,4,22
71278,9,5
71300,9,37
73103,5,422
73109,7,208
72123,2,17
72091,1,6
72134,3,28
72090,9,228
72103,4,55
72168,1,5
72147,3,60
72155,2,105
71499,7,1250
71513,3,41
71507,4,16
71433,7,181
71404,1,21
72340,5,219
72354,4,20
72230,6,111
72188,7,47
72189,4,117
72274,1,10
72260,5,466
72266,3,21
72053,6,151
71591,9,31
71583,3,84
72011,2,20
72013,5,267
71578,5,33
71273,7,76
71266,6,26
71361,7,26
71360,3,146
73090,1,6
73061,1,5
73067,3,30
73087,9,719
72145,9,36
72144,4,45
72177,9,25
71460,2,26
71530,6,76
71525,2,6
71475,3,420
71496,2,10
71514,3,11
71310,7,1383
71349,1,7
71263,6,788
71315,3,10
72244,7,863
72269,7,1184
72003,2,126
72024,3,267
72085,9,20
72061,9,127
72007,5,110
72369,2,26
72325,7,281
72337,7,257
73010,5,787
72308,5,292
73006,9,352
72087,7,140
72109,2,11
72169,5,225
72181,4,16818
72175,5,131
73095,4,35
73012,5,5
73017,4,107
73122,5,38
73114,4,104
73027,9,20
73028,6,52
73123,9,30
73030,3,182
73055,5,204
71408,4,59
71387,4,10
71406,1,11
71435,6,58
72041,4,27
72264,6,2512
72257,1,10
72251,7,118
72216,9,75
72270,5,16
72278,9,58
71485,6,36
71518,9,20
71480,5,59
71521,4,11
71563,2,7
71484,6,142
72015,7,21
72029,2,21
72080,9,270
71283,4,31
71354,9,54
71312,7,39
71311,5,25
72310,5,145
72317,9,20
72378,2,10
72319,2,16
73081,1,10
72115,5,159
72118,5,124
72176,3,101
72124,4,432
72172,3,50
71449,6,16
71399,4,51
71408,6,36
71460,9,26
72212,3,21
72196,2,15
72195,7,398
72237,6,121
72245,1,6
72256,5,81
72064,5,58
72001,2,31
72001,5,178
72071,9,593
71586,3,11
71571,2,11
71528,9,158
71520,6,113
73011,2,663
73081,4,85
73065,2,1436
72098,6,94
72169,1,5
72102,5,17
71389,7,125
71402,3,26
71414,5,68
71394,4,97
71431,6,62
71395,6,10
71377,4,22
72361,6,113
72362,4,59
72369,6,107
71290,4,61
72221,2,11
72211,2,25
72194,1,15
72267,2,41
72232,2,16
72042,6,370
72018,9,8
71545,7,430
71490,3,36
71571,5,55
71486,7,2859
71497,3,107
72093,9,66
72143,9,222
73075,6,16
73067,5,155
73122,3,42
73014,3,43
73048,3,6
71395,2,10
71425,4,33
71396,7,139
71396,9,39
71457,4,6
71423,4,32
72361,4,25
72350,6,291
72329,6,316
72357,1,21
72347,4,16
71344,4,15
71303,4,32
72038,6,116
72104,4,53
72177,4,35
72103,5,55
72093,2,31
72260,1,16
72201,1,6
72267,7,217
72226,3,45
71507,2,6
71534,7,27
71510,2,25
71552,5,61
71497,9,120
71425,7,93
71394,5,97
71445,2,205
71402,2,21
71447,1,16
73084,7,181
73064,4,775
73023,5,92
73049,4,15
73022,3,41
71299,2,10
71351,4,184
71289,9,143
71281,9,33
73003,2,176
72345,3,31
72342,4,36
72352,7,31
72332,5,71
72067,9,91
72060,3,16
72138,3,71
72157,9,63
72120,3,5
72114,3,6
72276,9,187
72252,1,10
72236,2,6
72277,3,10
72286,7,83
72338,5,136
73006,6,433
72372,5,10
72310,3,318
72324,6,121
73004,4,77
71543,7,1779
71530,2,24
73032,3,66
73019,9,75
73091,9,6
73101,7,31
71341,5,36
71362,6,24
71268,9,17
71311,7,74
71316,2,22
71293,4,63
71404,9,56
71409,4,26
72072,7,10
72025,9,148
72052,6,63
71578,6,55
72031,6,114
72090,1,6
72161,4,49
72177,2,5
72146,6,398
72187,6,228
72210,2,11
72249,4,204
72379,7,31
72374,7,48
72332,9,68
73007,3,103
73003,9,341
72383,2,5
72315,2,16
71346,3,75
71325,4,124
71345,5,92
71345,1,31
73040,6,35
73100,6,240
73039,6,68
73014,2,11
73063,3,16
73070,9,47
73055,2,173
73086,4,77
71482,9,70
71496,5,29
71540,2,65
71521,5,16
71526,2,16
71553,2,12
71486,9,847
72085,1,15
72009,7,86
72018,5,16
72029,4,166
71582,4,88
71417,5,137
71372,2,111
71394,3,19
71382,3,15
71370,3,25
71425,3,10
72110,2,25
72134,5,48
72177,3,14
72349,2,5
72314,4,58
72325,6,96
72313,2,6
72375,9,54
71315,2,5
71332,3,10
71319,7,213
71358,6,10
71312,2,15
71357,1,15
72235,5,71
72253,7,681
72239,7,86
72229,2,21
73122,6,19
73090,2,6
73014,7,58
73018,3,48
71489,9,68
71538,4,56
71551,7,41
72006,7,560
72042,9,180
71584,6,137
72293,5,100
72342,2,16
73004,6,57
72358,3,66
72322,3,16
72322,6,46
71397,5,40
71392,6,66
71421,6,15
71433,2,41
71456,2,86
72121,4,16
72154,7,4591
72114,7,51
72185,6,99
72088,6,60
72104,1,5
72251,1,6
72271,1,10
72262,6,270
72211,9,44
71577,2,6
72027,1,6
72006,5,280
71586,4,30
72012,6,39
71314,9,15
71270,9,5101
71276,9,10
71281,4,47
71315,7,35
71272,3,10
73101,3,11
73015,7,269
73121,9,180
72309,1,15
72311,2,6
72356,2,21
72344,9,245
72383,6,19
71534,5,14
71506,6,167
71498,6,19
71526,1,27
72183,5,110
72096,2,35
72191,4,311
72241,6,485
72270,6,11
72238,3,5
72213,5,819
72254,7,67
71399,7,200
71409,1,21
71455,1,6
71268,5,45
71331,1,12
71340,1,45
72071,4,423
72075,3,80
72019,5,21
71559,4,30
71472,5,19
71552,2,21
71503,4,6
71493,5,69
72376,1,41
72312,1,22
73025,7,102
73042,5,5
73015,5,329
72121,6,38
72166,1,11
71582,7,263
72019,1,31
72052,2,20
72042,3,20
72067,4,131
71572,5,27
71540,5,321
71479,6,185
71468,7,274
72286,9,31
72201,7,62
72256,9,106
72192,4,6
73059,6,106
73013,2,15
73073,7,137
73100,7,500
71424,5,20
71430,7,86
71374,7,59
71372,1,51
71448,5,192
71466,7,57
71352,5,18
71286,4,32
71285,2,16
72386,2,141
73008,6,2668
72361,1,35
72309,7,47
72110,9,78
72161,5,108
72113,4,129
72174,9,6
71555,2,66
71502,6,261
71524,2,6
71529,4,20
71528,2,93
72044,7,74
72078,2,11
72025,6,363
72165,9,162
72137,1,56
72177,1,10
72265,1,8
72217,7,723
72271,6,196
72237,7,81
72286,2,26
71396,6,100
71460,7,124
71435,9,21
71413,3,39
71337,7,94
71290,9,31
72309,3,6
72329,2,117
72382,4,189
71531,2,6
71554,9,20
71488,6,9
71551,4,5
71496,4,15
71571,3,21
71503,7,37
71470,7,100
73119,5,35
73077,4,90
73089,5,125
73113,5,30
73034,4,291
72029,6,361
72005,4,100
72039,7,1398
72041,7,54
72046,1,6
71573,5,42
72247,3,135
72195,1,15
72214,5,5
72219,5,161
72220,9,79
72237,2,10
72111,7,89
72107,6,40
72163,5,83
72120,2,10
72126,3,20
72099,5,92
72182,5,199
71408,1,6
71376,7,149
71420,9,174
71415,6,6
71441,4,44
71373,1,51
71397,1,6
72379,6,31
72302,6,58
71527,4,31
71530,5,66
71542,3,14
71500,1,5
71332,5,65
71305,3,52
71343,4,25
71293,5,44
73078,5,30
73011,7,4620
73036,3,86
73047,7,26
73043,2,86
72015,4,9
71582,2,16
72025,1,51
72209,4,40
72267,9,61
72235,7,83
72256,1,41
72089,6,192
72161,9,69
72154,6,1958
72138,6,348
73010,2,281
72314,7,73
72360,1,10
72330,7,128
71453,3,14
71389,1,11
71385,7,129
71376,1,31
71412,5,96
71383,2,10
73079,5,127
73106,7,80
73113,3,25
73103,3,351
73027,2,29
71514,2,37
71525,9,50
71473,9,6
71485,3,15
71519,7,47
71548,5,20
72292,7,56
72273,7,56
72197,2,35
72239,9,57
72223,4,189
72213,2,98
71329,2,26
71281,6,20
71343,5,35
71267,2,31
71585,5,191
72032,2,11
72061,2,36
72316,2,10
72314,5,32
72319,4,150
72346,7,1296
72314,3,16
72158,9,75
72168,3,58
72158,4,55
72109,1,41
71369,6,80
71401,6,117
71381,9,4
71377,1,16
71534,3,5
71541,4,36
71495,3,15
71543,2,156
71505,2,12
73018,5,82
73083,5,34
72031,9,59
72034,4,60
72062,5,100
71589,9,71
72239,3,30
72274,4,28
72228,1,11
72193,2,5
72278,6,155
72202,6,44
72266,9,63
71316,3,21
71301,2,5
71306,1,14
71328,4,105
71449,9,11
71367,9,6
71514,5,36
71482,1,35
71504,9,5
71542,4,158
71513,2,70
71516,9,45
72171,6,6
72175,6,272
72163,2,20
72147,6,145
72106,5,128
72335,7,196
72305,9,80
72340,2,55
72380,4,91
72024,6,379
71583,5,74
73069,2,25
73069,9,63
73058,9,116
72215,9,83
71292,6,91
71286,6,22
71327,1,22
71357,9,15
71396,4,82
71427,3,6
71439,2,30
71395,9,15
71491,7,292
71499,1,31
71540,6,345
71577,6,21
72005,1,10
72131,1,6
72112,9,56
72373,9,189
72364,3,25
72349,3,5
72328,5,366
73041,2,25
73065,5,7460
71455,3,11
71403,7,78
71374,9,6
71391,2,20
71424,4,29
71308,6,8
71302,1,5
72208,4,30
72264,1,63
72268,7,151
72274,6,47
72283,5,42
72292,2,6
71585,7,337
71588,2,39
72039,4,353
72026,1,26
72060,5,27
72040,2,5
72149,1,35
72165,2,50
72172,6,283
72090,4,238
72176,9,420
71567,3,23
71545,5,115
73117,3,41
73029,5,672
73077,3,54
73001,4,30
72306,5,162
73001,3,10
72311,6,65
72341,7,137
71287,9,16
71291,4,72
71329,5,65
71339,2,20
71331,7,34
71300,7,130
71466,4,16
71371,1,11
71378,9,107
71419,5,204
71406,2,6
72001,9,127
72008,9,528
72015,2,5
72224,2,6
72237,9,31
72289,7,607
72274,5,28
72113,7,153
72166,7,77
72098,9,57
71471,9,10
71526,3,32
71525,1,16
73017,7,304
73098,9,70
73082,4,163
73091,7,78
73105,2,39
71264,1,10
72348,3,6
72312,3,22
71405,4,24
71459,9,11
71435,5,22
71403,6,15
71423,2,16
71396,3,15
72047,7,410
72075,9,71
72070,6,63
71546,2,11
71562,6,18
71499,3,193
71510,9,40
71512,9,305
71546,3,30
71520,3,21
72172,9,160
72147,7,224
72105,5,35
72144,6,60
73091,4,56
73089,7,275
73054,5,1083
72293,2,20
72279,3,15
72280,2,76
72193,4,36
72270,2,16
71362,3,26
72329,1,41
72311,3,15
72362,7,22
71378,7,440
71324,5,65
71282,2,81
71320,5,26
71284,7,54
71356,2,42
71284,4,17
71293,2,10
72022,4,109
71578,9,37
72064,7,184
72059,7,188
72043,3,20
72002,9,20
73121,4,171
73088,6,25
73055,6,164
73098,2,87
73018,2,43
73033,3,92
72146,2,106
72137,4,302
72125,6,74
72157,2,15
72175,4,141
71316,5,32
71311,6,21
71347,9,68
71340,6,193
71373,6,224
71450,4,10
71434,9,49
71448,3,49
71456,6,265
71462,1,15
72271,5,138
72195,9,103
72228,6,357
72216,3,65
72331,9,40
72294,1,26
72370,2,10
72062,2,20
72068,1,15
73042,7,70
73061,9,19
73084,4,171
73105,9,92
73042,3,18
73057,5,74
72089,2,31
72161,7,372
72113,6,65
72105,7,120
72102,7,6
72126,5,37
71279,9,33
71352,4,14
71474,2,5
71573,4,11
71561,3,11
71557,2,15
71564,9,60
71509,4,38
71568,9,7
71437,7,90
71424,1,15
71420,5,260
71410,2,25
71371,9,56
71403,3,20
72275,2,16
72341,4,88
72351,4,84
72357,6,161
72381,9,107
72071,7,2399
73089,6,210
73040,1,17
73114,5,109
73012,3,5
71285,4,40
71299,7,106
71484,3,34
71535,9,17
71490,1,15
71485,4,35
71555,3,109
71513,5,134
73050,9,59
73034,9,111
73067,2,35
72086,4,26
72058,3,650
72034,9,20
72091,7,56
72121,5,38
72166,5,17
72186,1,26
71380,3,49
71435,4,27
71386,7,28
71399,1,15
72383,1,10
72349,6,90
72305,6,139
72252,6,121
72249,1,5
72286,5,93
72262,4,100
73022,6,46
71295,5,186
71302,5,16
71332,6,76
71269,2,51
71330,3,36
71530,9,43
71524,3,16
71510,5,64
71500,9,13
72049,4,26
72073,1,33
72015,6,5
72060,4,16
71590,9,42
71399,9,41
71410,3,59
72356,7,114
72366,3,10
72353,6,44
72364,5,179
72307,7,38
72358,1,26
72138,9,280
72157,6,73
72121,9,27
72151,3,41
72175,2,44
72131,2,15
72209,2,11
72200,7,689
72291,2,21
72236,9,16
72211,3,35
72243,5,191
71506,7,340
71479,2,90
71479,7,483
71266,2,27
71287,7,137
71311,3,10
71272,4,15
71333,2,65
73103,6,226
73064,2,177
71443,9,144
71403,1,5
71405,2,10
