GEO,PCS,OBS_VALUE
68305,4,164
68275,6,46
68259,6,51
68309,9,406
68279,4,129
69019,2,368
68171,1,11
68171,9,55
68173,4,306
68203,7,290
68076,3,32
69191,7,1554
69231,1,5
69220,4,287
69177,1,11
69148,6,136
69176,7,880
67400,5,123
67441,6,73
68380,9,16
67447,5,4760
69153,3,270
67417,5,11
69065,7,157
69051,1,31
69108,9,70
68286,4,375
68237,3,60
67388,7,1464
67434,5,331
67406,3,45
68113,6,142
68051,9,53
68097,1,41
68045,9,40
68092,1,10
67489,7,290
67548,5,54
67502,9,10
68191,9,46
68208,2,15
68187,2,16
68132,5,69
68169,9,39
68376,9,2367
68325,7,207
68350,4,40
68342,6,209
68332,4,182
69017,2,51
69093,5,152
69067,2,42
69034,2,1384
69099,5,177
69233,9,100
69179,1,25
69191,6,203
69202,1,16
69188,6,110
69196,7,107
67553,1,5
67551,6,286
67493,4,55
68027,4,57
68184,4,45
68173,1,20
68144,5,185
68219,7,199
68207,3,87
68046,2,21
68043,6,487
68252,6,225
68271,1,5
68256,6,1160
68298,1,36
68271,5,1538
67385,4,28
67437,4,1397
67409,9,120
67387,4,22
68364,1,30
68366,5,90
69008,5,67
69033,5,209
67532,1,21
67494,4,90
67525,4,295
67514,3,20
68002,1,10
67491,2,10
68210,1,6
68224,7,18384
69138,7,75
69183,3,10
69202,5,2188
69205,3,895
69183,9,26
69155,4,203
69178,9,25
69078,1,40
69054,3,15
68094,2,10
68077,5,53
68064,2,16
68074,3,16
67386,4,35
67389,4,557
67430,4,93
67451,4,221
68276,4,26
68229,6,20
68270,4,511
68232,9,50
68244,9,20
68285,6,29
69014,5,107
68383,1,11
68341,2,5
68011,1,6
67508,9,68
68008,7,152
68009,1,10
67503,3,15
67520,9,618
68211,7,99
68169,5,68
69165,4,161
69177,7,441
69132,6,119
69157,6,441
68032,7,300
68114,6,23
68123,2,31
68040,7,605
68087,3,36
68066,1,78
68097,5,115
68126,7,755
69088,2,143
67403,3,56
67394,2,15
67405,1,5
67468,4,78
67503,2,5
68009,2,45
67523,9,145
69032,2,92
68279,7,255
68312,3,16
68284,5,81
68228,1,10
68165,3,20
68140,1,11
68205,3,76
68151,7,282
68174,7,373
68218,2,71
69156,6,146
69170,6,123
69173,7,235
69230,5,45
68050,5,37
68044,9,40
68106,4,19
68088,9,57
68107,7,80
67499,4,63
68008,6,54
68014,3,10
67436,4,85
67424,4,53
67452,2,78
68265,7,138
68285,1,6
68290,5,118
68249,4,424
68143,4,234
68157,9,69
68150,4,30
68177,4,261
67490,5,51
67559,4,55
68012,5,173
68007,9,174
67534,4,123
69024,6,253
69003,4,363
68356,2,10
69122,5,250
69078,9,60
69099,3,86
69162,4,238
69179,5,440
69186,3,5
68105,9,25
68100,7,88
68101,6,72
68030,2,16
67437,5,1299
67420,6,168
67386,9,15
67481,3,97
67474,9,349
68230,3,37
68211,6,55
68145,2,129
68159,2,10
68178,4,172
68174,1,6
68198,5,35
67497,7,187
67501,9,40
67493,2,5
68019,7,200
67542,3,68
69192,9,6
69149,3,4266
69200,7,286
69174,6,133
69212,4,67
69133,3,657
69134,5,17
69231,4,426
69013,4,573
69003,9,350
68362,1,5
69042,7,114
69081,6,806
69063,5,284
69119,2,11
68242,5,217
68259,1,16
68248,6,84
68264,9,73
68255,2,31
68140,4,202
68129,6,103
67472,3,249
67462,1,44
67412,4,140
67443,4,111
67400,9,113
68118,5,764
68127,9,86
68037,9,31
68100,6,59
67535,4,114
68013,3,80
67539,5,338
67511,3,61
67509,6,63
69139,3,95
69179,6,208
68097,3,73
68140,9,127
69105,2,32
69033,9,300
68345,7,125
69004,7,198
68289,5,313
69193,1,25
69131,4,547
69155,9,79
69138,1,20
